Smoothed X 2	Smoothed Y 2
277	-89.955037429606
278	-92.4214673485608
279	-94.5564014750471
280	-96.2473206405839
281	-97.4826066982747
282	-98.2292525111388
283	-98.6261573617906
284	-98.7526323043556
285	-98.6418921735139
286	-98.2988130732627
287	-97.776981992821
288	-96.9979239331932
289	-95.9605189227065
290	-94.7013905825467
291	-93.2803939457238
292	-91.6931111094108
293	-90.2007647886625
294	-88.936656213825
295	-88.0476730569453
296	-87.5630235744517
297	-87.5129070595653
298	-87.7444331278156
299	-88.1422184169045
300	-88.6860410407186
301	-89.4734757313381
302	-90.5198996897043
303	-91.8386790415645
304	-93.509092783183
305	-95.4484666536004
306	-97.5160102236024
307	-99.5898968131841
308	-101.471511467
309	-103.043227984508
310	-104.284839331831
311	-105.204368208721
312	-105.78850079231
313	-106.19348892654
314	-106.491197443878
315	-106.705567814832
316	-106.810602780456
317	-106.909637634431
318	-107.016724285806
319	-107.013709736467
320	-106.953336963306
321	-106.958944701354
322	-107.06117522796
323	-107.351832136661
324	-107.946172845289
325	-108.700699902202
326	-109.542907553663
327	-110.446208268032
328	-111.294095074236
329	-112.028289902136
330	-112.702414658964
331	-113.234751223226
332	-113.476872997309
333	-113.442221762339
334	-113.203075469161
335	-112.733982289359
336	-111.995264568205
337	-111.038683166305
338	-109.756175002505
339	-108.039216816351
340	-106.064508581162
341	-103.988712687915
342	-101.909858517125
343	-100.016128368725
344	-98.4093516414862
345	-97.0194455076258
346	-95.9267008042336
347	-95.1344235965114
348	-94.6330229859055
349	-94.4378633800398
350	-94.6055774302285
351	-95.0542108639331
352	-95.7829918161781
353	-96.7969253535818
354	-98.097458367472
355	-99.5749162285279
356	-101.149081710577
357	-102.721295150618
358	-104.167264648229
359	-105.446705978786
360	-106.561362985124
361	-107.442330094576
362	-108.120736215363
363	-108.562123285805
364	-108.726064718738
365	-108.563086218784
366	-108.127680383747
367	-107.397138933937
368	-106.459183155845
369	-105.360689045563
370	-104.20869957914
371	-103.058384413744
372	-102.100629176249
373	-101.394640249362
374	-100.934164601043
375	-100.762119751871
376	-100.987052586302
377	-101.512766435643
378	-102.366451743866
379	-103.567557694341
380	-105.0371624885
381	-106.690688198234
382	-108.567045444052
383	-110.57484689792
384	-112.638454743301
385	-114.661208002766
386	-116.557138516307
387	-118.135094910959
388	-119.294801063091
389	-120.088473562251
390	-120.567843059922
391	-120.60999876303
392	-120.311547416026
393	-119.707480136429
394	-118.781557922637
395	-117.610316802984
396	-116.392204005743
397	-115.09719107536
398	-113.781448362519
399	-112.513944909001
400	-111.332372294441
401	-110.280430434272
402	-109.496764835939
403	-109.037230219121
404	-108.868722582509
405	-108.952980680987
406	-109.364174632207
407	-110.028381227056
408	-110.929151386246
409	-112.095689564198
410	-113.523675794924
411	-115.031343605494
412	-116.648542679325
413	-118.383808375821
414	-120.15192630512
415	-121.886821069568
416	-123.596485044236
417	-125.183503208285
418	-126.581414766361
419	-127.757545584316
420	-128.629652928735
421	-129.141259002437
422	-129.339068130354
423	-129.267599495649
424	-128.926976240873
425	-128.379748680542
426	-127.696463593493
427	-126.771614857738
428	-125.580478655423
429	-124.204325453366
430	-122.747007677183
431	-121.250387061859
432	-119.804755903905
433	-118.471306500584
434	-117.298431955303
435	-116.383135925233
436	-115.777840063423
437	-115.502815008164
438	-115.514808564286
439	-115.740884950608
440	-116.055288008948
441	-116.517918692306
442	-117.305354231671
443	-118.481207431927
444	-120.055822187315
445	-121.952773387532
446	-124.009067581619
447	-126.028509105047
448	-127.91031584839
449	-129.636931180532
450	-131.201104003092
451	-132.531196573998
452	-133.57858315669
453	-134.380209752744
454	-134.948344424019
455	-135.339705178465
456	-135.53426736104
457	-135.427396561926
458	-134.909869921034
459	-133.996379034246
460	-132.806576752191
461	-131.524165599942
462	-130.413340773607
463	-129.643633452803
464	-129.194204038928
465	-128.974649518977
466	-128.981735259915
467	-129.102678363795
468	-129.185479511966
469	-129.333600857879
470	-129.488608858933
471	-129.565786601206
472	-129.64206756567
473	-129.869029182394
474	-130.116693320622
475	-130.342208606402
476	-130.450996111259
477	-130.251210012287
478	-129.561961360673
479	-128.486441717496
480	-127.121574033722
481	-125.581354629795
482	-124.129364305884
483	-122.976700059846
484	-122.02662327071
485	-121.29624809665
486	-120.762467166707
487	-120.332016179065
488	-119.878721408025
489	-119.559664744064
490	-119.310631115884
491	-119.212217184256
492	-119.325952397982
493	-119.805642433837
494	-120.455306690286
495	-121.203587744013
496	-121.967626120721
497	-122.571223951901
498	-122.864048546602
499	-123.019605314235
500	-123.202749142523
501	-123.543113699282
502	-124.081212964902
503	-124.93103829287
504	-125.91886649328
505	-126.967897286266
506	-128.000018947398
507	-129.029542049492
508	-129.882713555271
509	-130.704799866503
510	-131.518105178053
511	-132.33228018865
512	-133.229869582802
513	-134.272241853997
514	-135.198314257463
515	-135.935051620528
516	-136.41455116036
517	-136.631721788074
518	-136.636451438864
519	-136.64234793899
520	-136.705966251915
521	-136.811004584208
522	-136.906957433596
523	-137.068991445527
524	-137.163073334371
525	-137.230173997407
526	-137.287555908412
527	-137.310359956275
528	-137.28062874573
529	-137.418621772404
530	-137.678659041897
531	-138.111350068624
532	-138.654181419363
533	-139.117946302643
534	-139.310369440739
535	-139.317789157728
536	-139.104344806348
537	-138.797269645557
538	-138.492505642076
539	-138.281624270901
540	-138.131856259753
541	-138.07101323314
542	-138.059819474742
543	-138.088284673294
544	-138.120997732033
545	-138.168755778397
546	-138.175860242471
547	-138.227758538971
548	-138.366976619065
549	-138.688726893465
550	-139.066023204078
551	-139.576027618175
552	-140.04171652553
553	-140.434536585237
554	-140.71508696196
555	-140.947834053015
556	-141.107115776961
557	-141.352383064901
558	-141.791023596252
559	-142.362780736511
560	-143.079210457131
561	-143.937339482233
562	-144.856714097659
563	-145.781296046997
564	-146.697323670387
565	-147.588638097992
566	-148.483039965158
567	-149.48443095848
568	-150.522292581797
569	-151.683800204794
570	-152.963426769202
571	-154.304007642791
572	-155.509942199066
573	-156.540557018022
574	-157.393554720928
575	-158.086447916404
576	-158.704992717058
577	-159.301077039143
578	-159.920337513959
579	-160.413683061476
580	-160.817345044712
581	-161.057053658987
582	-161.141363755564
583	-161.077140499974
584	-160.887541046639
585	-160.550542739257
586	-160.12932679221
587	-159.668624460126
588	-159.19293121631
589	-158.770018289735
590	-158.349921243613
591	-157.793866553356
592	-157.13477627034
593	-156.387671715096
594	-155.670686011637
595	-154.992057347124
596	-154.440703723381
597	-153.939815703879
598	-153.524012689317
599	-153.114595408539
600	-152.782764465337
601	-152.534294044425
602	-152.460739018396
603	-152.447671006968
604	-152.490497766311
605	-152.628077437654
606	-152.919186695765
607	-153.338812775885
608	-153.952016863426
609	-154.719301449011
610	-155.621645420517
611	-156.576431729123
612	-157.578127626628
613	-158.595099801694
614	-159.650715474561
615	-160.564356117596
616	-161.350815975269
617	-161.886250954171
618	-162.173872393767
619	-162.098465878293
620	-161.676576628188
621	-160.841010305062
622	-159.680051935812
623	-158.148484355683
