Smoothed X1	Smoothed Y1	
196	-17.5856910689423
197	-19.7016180381179
198	-21.1496681744854
199	-20.3568504647662
200	-18.4155188484738
201	-14.8574930614481
202	-11.7467224859943
203	-9.33075811192394
204	-8.9887101498743
205	-9.19525498139362
206	-9.41072412033876
207	-8.52666908043127
208	-7.86893402896822
209	-6.57709037860235
210	-6.30280239184698
211	-7.16126680113376
212	-7.31035855474572
213	-6.97414867890378
214	-7.27934344559908
215	-7.31336236881714
216	-7.56834104818603
217	-8.54686592755219
218	-8.05491526648403
219	-5.46941817924381
220	-3.43325542211533
221	-0.970586176464959
222	0.060362870121992
223	-0.779871555541956
224	-2.86381306784849
225	-4.47839700728655
226	-6.48825570220749
227	-7.47915167808533
228	-8.05131712804238
229	-8.39311884691318
230	-8.7983261756599
231	-8.40426069311798
232	-8.00784217168888
233	-7.3402738476793
234	-7.36068582447867
235	-6.56150614917279
236	-6.39006985922655
237	-5.78270388854047
238	-4.88980266538759
239	-3.20768296793104
240	-2.96874792861442
241	-3.06736337703963
242	-2.32512626896302
243	-1.78975928338866
244	-2.60579537798961
245	-3.19107984726628
246	-2.64268933062753
247	-3.09686014292141
248	-3.54277168810368
249	-4.7497354708612
250	-6.37794861743848
251	-8.94304472580552
252	-12.1649700441708
253	-15.4047113303095
254	-17.214464876925
255	-17.5398744091392
256	-17.3317602681617
257	-16.0719920814037
258	-15.4093429536869
259	-14.6308084184925
260	-14.9508651332309
261	-15.6059253657858
262	-15.5396421351781
263	-16.0094313144684
264	-17.6221948539217
265	-18.6011428986986
266	-18.730710540091
267	-20.4964765630662
268	-21.0324442082395
269	-22.1208646737039
270	-22.9581224138538
271	-24.1617668557912
272	-24.3574828870594
273	-24.5201097918053
274	-22.7029550174872
275	-20.013823817422
276	-16.6057474736124
277	-13.4713952509065
278	-11.6378994559248
279	-9.68113394007087
280	-9.16795562356711
281	-8.9184633517017
282	-8.59749382535617
283	-6.7284522117426
284	-4.65348481908441
285	-1.37788363744815
286	1.97842896791796
287	4.76110557516416
288	7.50789097572366
289	8.13266145860155
290	8.04630086272955
291	6.96612018148104
292	5.53912421204149
293	2.35990105035404
294	0.406850659723081
295	-1.15634029246867
296	-2.20642958196501
297	-3.44337735784551
